DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Pull en maille irisée   Noir, noir  ,#342e31,Black,MidnightBlue,#30292c,Black,MidnightBlue,#423d3f,Black,DimGrey,#302c2f,Black,MidnightBlue,,,
Top   Bleu marine, bleu marine et doré  ,#332b48,Black,MidnightBlue,#3c335a,Teal,MidnightBlue,#48475b,Gray,DimGrey,#deb28f,Silver,Tan,,,
Top   Bleu marine, bleu marine et doré  ,#332b48,Black,MidnightBlue,#3c335a,Teal,MidnightBlue,#48475b,Gray,DimGrey,#deb28f,Silver,Tan,,,
Top   Blanc, blanc  ,#c4b7ac,Silver,Silver,#ddc7b4,Silver,Silver,#d6bfae,Silver,Silver,#e6d8cb,Silver,LightGrey,,,
Top pailleté Gris, gris  ,#bfb7b4,Silver,Silver,#bcb2ae,Silver,DarkGrey,#433b49,Gray,DimGrey,#a69b98,Gray,DarkGrey,,,
Top pailleté Gris, gris  ,#c0b7b4,Silver,Silver,#bcb2ae,Silver,DarkGrey,#433b49,Gray,DimGrey,#a69b97,Gray,DarkGrey,,,
Top irisé   Ecru, écru  ,#e6d9c4,Silver,LightGrey,#e7dcca,Silver,LightGrey,#5988af,Gray,Grey,#e1d0b8,Silver,LightGrey,,,
Gilet irisé en maille ajourée   Noir, noir,#2e282b,Black,MidnightBlue,#352f32,Black,MidnightBlue,#332e31,Black,MidnightBlue,#322a2a,Black,MidnightBlue,#1d191d,Black,Black
Gilet en maille ajourée  Violet, violet  ,#7270a3,Gray,Grey,#5755b8,Gray,RoyalBlue,#8a879a,Gray,Grey,#6968c3,Gray,MediumPurple,,,
Pull irisé   Fuchsia, fuchsia  ,#f07197,Silver,Salmon,#ed729d,Silver,Salmon,#2a2b50,Black,MidnightBlue,#d36671,Gray,Salmon,,,
Pull Bordeaux, bordeaux  ,#aa2e38,Gray,Brown,#b22d3a,Gray,Brown,#292b3a,Black,MidnightBlue,#ac2b35,Gray,Brown,,,
Pull Bordeaux, bordeaux  ,#aa2e38,Gray,Brown,#b12d39,Gray,Brown,#292b3a,Black,MidnightBlue,#ac2b35,Gray,Brown,,,
Pull Bordeaux, bordeaux  ,#aa2e38,Gray,Brown,#b22d3a,Gray,Brown,#292b3a,Black,MidnightBlue,#ac2b35,Gray,Brown,,,
Pull Bordeaux, bordeaux  ,#aa2e38,Gray,Brown,#b22d39,Gray,Brown,#292b3a,Black,MidnightBlue,#ac2b35,Gray,Brown,,,
Marinière Gris, gris et jaune  ,#bdb9b3,Silver,Silver,#b0aead,Silver,DarkGrey,#c7b5a0,Silver,Tan,#c8c5c2,Silver,Silver,,,
Marinière Bleu marine, bleu marine et blanc  ,#394371,Teal,MidnightBlue,#3b497b,Teal,DimGrey,#4b5073,Gray,DimGrey,#2f3659,Teal,MidnightBlue,,,
Marinière Bleu marine, bleu marine et blanc  ,#394371,Teal,MidnightBlue,#3b497b,Teal,DimGrey,#4b5073,Gray,DimGrey,#2f3659,Teal,MidnightBlue,,,
Pull  Rouge, rouge  ,#d71325,Orange,Crimson,#fc4946,Orange,Tomato,#423539,Black,MidnightBlue,#f2383e,Orange,Crimson,,,
Pull   Noir, noir  ,#251d1f,Black,Black,#211b1e,Black,Black,#211b1b,Black,Black,#241f21,Black,Black,,,
Pull   Corail fluo, corail fluo  ,#fc9d80,Silver,Salmon,#fdad90,Silver,Tan,#f6af97,Silver,Tan,#faae95,Silver,Tan,,,
Pull   Corail fluo, corail fluo  ,#fc9d80,Silver,Salmon,#fdad90,Silver,Tan,#f6af97,Silver,Tan,#faae95,Silver,Tan,,,
Gilet en maille ajourée Blanc, blanc  ,#6d6568,Gray,DimGrey,#3c3a3f,Black,MidnightBlue,#746e73,Gray,DimGrey,#dad7dc,Silver,LightGrey,,,
Gilet en maille ajourée Blanc, blanc  ,#6d6568,Gray,DimGrey,#3c3a3f,Black,MidnightBlue,#746e73,Gray,DimGrey,#dad7dc,Silver,LightGrey,,,
Gilet irisé   Doré, doré  ,#464550,Gray,DimGrey,#e4e0d0,Silver,LightGrey,#e9adba,Silver,LightPink,#e9e0cb,Silver,LightGrey,,,
Gilet en maille métallisée   Ecru et doré, écru et doré  ,#272121,Black,Black,#d2c6b6,Silver,Silver,#8a898c,Gray,Grey,#d9c4a9,Silver,Silver,,,
Gilet en maille métallisée   Ecru et doré, écru et doré  ,#272121,Black,Black,#d2c6b6,Silver,Silver,#8a898c,Gray,Grey,#d9c4a9,Silver,Silver,,,
Pull à rayures Beige, beige  ,#d3beb1,Silver,Silver,#ddc4b6,Silver,Silver,#dabcab,Silver,Tan,#dfc6b8,Silver,LightGrey,,,
Top à rayures Noir, noir,#2f2627,Black,Black,#2b252a,Black,Black,#4a4245,Gray,DimGrey,#241d1d,Black,Black,,,
Top à rayures Noir, noir,#2f2627,Black,Black,#2b252a,Black,Black,#4a4245,Gray,DimGrey,#241d1d,Black,Black,,,
Top à rayures Noir, noir,#2f2627,Black,Black,#2c272b,Black,MidnightBlue,#4a4245,Gray,DimGrey,#241d1d,Black,Black,,,
Pull à rayures   Bleu marine et blanc, bleu marine et blanc  ,#403b4e,Gray,MidnightBlue,#3f3b51,Teal,MidnightBlue,#3a3347,Black,MidnightBlue,#343146,Black,MidnightBlue,,,
Pull motifs fantaisie Bleu marine, bleu marine et blanc  ,#979697,Gray,DarkGrey,#88888a,Gray,Grey,#9f9198,Gray,DarkGrey,#84878c,Gray,Grey,,,
Pull motifs fantaisie Bleu marine, bleu marine et blanc  ,#979697,Gray,DarkGrey,#88898a,Gray,Grey,#9f9198,Gray,DarkGrey,#84878c,Gray,Grey,,,
Pull motifs fantaisie Bleu marine, bleu marine et blanc  ,#979697,Gray,DarkGrey,#8a8a8b,Gray,Grey,#9f9198,Gray,DarkGrey,#84878c,Gray,Grey,,,
Gilet en dentelle   Ecru, écru  ,#61544e,Gray,DimGrey,#cec2af,Silver,Silver,#cac4bb,Silver,Silver,#ceab92,Silver,Tan,#b9b19c,Silver,DarkGrey
Pull à rayures   Blanc, blanc,#eb253e,Orange,Crimson,#f43747,Orange,Crimson,#514b5d,Gray,DimGrey,#2d2d4f,Black,MidnightBlue,,,
Pull  Gris clair chiné, gris clair chiné  ,#cec9c4,Silver,Silver,#c5c3c1,Silver,Silver,#545157,Gray,DimGrey,#dbd7d2,Silver,LightGrey,,,
Top motifs fantaisie Bleu marine, bleu marine et blanc  ,#b2b2cb,Silver,Silver,#bdbdd9,Silver,Silver,#cec5c4,Silver,Silver,#474765,Gray,DimGrey,,,
Top motifs fantaisie Bleu marine, bleu marine et blanc  ,#b2b2cb,Silver,Silver,#bdbdd9,Silver,Silver,#cec5c4,Silver,Silver,#474765,Gray,DimGrey,,,
Top motifs fantaisie Bleu marine, bleu marine et blanc  ,#b2b2cb,Silver,Silver,#bdbdd9,Silver,Silver,#cec5c4,Silver,Silver,#474765,Gray,DimGrey,,,
Pull motifs léopard Beige, beige et gris  ,#b5b3ae,Silver,DarkGrey,#c4c3bf,Silver,Silver,#423a3d,Black,MidnightBlue,#e1dcd3,Silver,LightGrey,,,
Pull motifs léopard Beige, beige et gris  ,#b5b2ae,Silver,DarkGrey,#c3c2be,Silver,Silver,#423a3d,Black,MidnightBlue,#e1dcd3,Silver,LightGrey,,,
Gilet long asymétrique   Ecru, écru  ,#ccbbaa,Silver,Silver,#dbdcda,Silver,LightGrey,#dbddd8,Silver,LightGrey,#d0a88a,Silver,Tan,,,
Gilet long asymétrique   Ecru, écru  ,#ccbbaa,Silver,Silver,#dbdcda,Silver,LightGrey,#dbddd8,Silver,LightGrey,#d0a88b,Silver,Tan,,,
Pull à rayures Bleu marine et blanc, bleu marine et blanc  ,#47415f,Gray,DimGrey,#454162,Gray,DimGrey,#e1bfb3,Silver,LightPink,#3e3853,Teal,MidnightBlue,,,
Pull à rayures   Bleu marine et blanc, bleu marine et blanc  ,#403b4b,Gray,MidnightBlue,#3f3b4c,Teal,MidnightBlue,#423b4b,Gray,MidnightBlue,#383342,Black,MidnightBlue,,,
Pull à rayures   Bleu marine et blanc, bleu marine et blanc  ,#403b4b,Gray,MidnightBlue,#3f3b4c,Teal,MidnightBlue,#423b4b,Gray,MidnightBlue,#383342,Black,MidnightBlue,,,
Top en maille ajourée   Blanc, blanc  ,#dcd5d4,Silver,LightGrey,#d9d2d2,Silver,LightGrey,#b0222e,Gray,Brown,#dfd9db,Silver,LightGrey,,,
Top en maille ajourée   Blanc, blanc  ,#dcd5d4,Silver,LightGrey,#d9d2d2,Silver,LightGrey,#b0222e,Gray,Brown,#dfd9db,Silver,LightGrey,,,
Top en maille ajourée   Blanc, blanc  ,#dcd5d4,Silver,LightGrey,#d9d2d2,Silver,LightGrey,#b0222e,Gray,Brown,#dfdadc,Silver,LightGrey,,,
Top en maille Beige, beige  ,#dbcfc6,Silver,LightGrey,#e7dcd3,Silver,LightGrey,#4e4a50,Gray,DimGrey,#e9c09c,Silver,Tan,,,
Top en maille ajourée   Moutarde, moutarde et doré  ,#d6cc42,Orange,DarkKhaki,#d3ca40,Orange,DarkKhaki,#4d5970,Gray,DimGrey,#dedc53,Yellow,DarkKhaki,,,
Top en maille ajourée   Moutarde, moutarde et doré  ,#d6cc42,Orange,DarkKhaki,#d3ca40,Orange,DarkKhaki,#4d5970,Gray,DimGrey,#dedc53,Yellow,DarkKhaki,,,
Top en maille ajourée   Moutarde, moutarde et doré  ,#d6cc42,Orange,DarkKhaki,#d3ca40,Orange,DarkKhaki,#4d5970,Gray,DimGrey,#dedc53,Yellow,DarkKhaki,,,
Top en maille ajourée   Moutarde, moutarde et doré  ,#d6cc42,Orange,DarkKhaki,#d3ca40,Orange,DarkKhaki,#4d5970,Gray,DimGrey,#dedc53,Yellow,DarkKhaki,,,
Gilet à rayures Noir et blanc, noir et blanc  ,#dedcda,Silver,LightGrey,#a9a6a5,Silver,DarkGrey,#a7a5a6,Silver,DarkGrey,#928f90,Gray,Grey,,,
Gilet à rayures Noir et blanc, noir et blanc  ,#dedcda,Silver,LightGrey,#a9a6a5,Silver,DarkGrey,#a7a5a6,Silver,DarkGrey,#918f8f,Gray,Grey,,,
Gilet Taupe, taupe  ,#cf494c,Gray,Tomato,#d5b9a3,Silver,Tan,#d7b6a2,Silver,Tan,#d3b49b,Silver,Tan,,,
Pull   Ecru, écru  ,#d3c3ac,Silver,Silver,#e5e1d5,Silver,LightGrey,#d1b0a0,Silver,Tan,#ddd4c5,Silver,LightGrey,,,
Pull   Beige, beige,#cabeb4,Silver,Silver,#ded2c5,Silver,LightGrey,#4e6384,Gray,DimGrey,#72533b,Gray,DimGrey,,,
Pull   Beige, beige,#cabfb4,Silver,Silver,#ded2c5,Silver,LightGrey,#4e6384,Gray,DimGrey,#72533b,Gray,DimGrey,,,
Pull   Beige, beige,#cbc0b5,Silver,Silver,#ded2c5,Silver,LightGrey,#4e6384,Gray,DimGrey,#72533b,Gray,DimGrey,,,
Gilet Kaki, kaki  ,#a98879,Gray,RosyBrown,#a7857a,Gray,RosyBrown,#a08173,Gray,Grey,#8f6e5e,Gray,DimGrey,#9c8274,Gray,Grey
Gilet irisé  Bleu marine, bleu marine  ,#2d2930,Black,MidnightBlue,#333d60,Teal,MidnightBlue,#b3b0b5,Silver,DarkGrey,#292e49,Black,MidnightBlue,,,
Gilet irisé  Bleu marine, bleu marine  ,#2d2930,Black,MidnightBlue,#343e61,Teal,MidnightBlue,#b3b0b5,Silver,DarkGrey,#292e49,Black,MidnightBlue,,,
Top en maille ajourée Beige, beige  ,#e1d4bb,Silver,LightGrey,#e4d8c0,Silver,LightGrey,#e5c9ae,Silver,Moccasin,#e7dfc8,Silver,LightGrey,,,
Top en maille ajourée Beige, beige  ,#e1d4bb,Silver,LightGrey,#e4d8c0,Silver,LightGrey,#e5c9ae,Silver,Moccasin,#e7dfc8,Silver,LightGrey,,,
Pull irisé Beige, beige  ,#dfccbe,Silver,LightGrey,#d3bdae,Silver,Silver,#d8baa7,Silver,Tan,#cfb5a5,Silver,Tan,,,
Gilet à rayures   Bleu marine et blanc, bleu marine et blanc  ,#282f62,Teal,MidnightBlue,#3f4468,Teal,DimGrey,#323652,Teal,MidnightBlue,#3a417f,Teal,MidnightBlue,#353962,Teal,MidnightBlue
Robe pull irisée   Beige, beige,#e1dcd4,Silver,LightGrey,#e2dfd9,Silver,LightGrey,#dbd9d2,Silver,LightGrey,#c7baa6,Silver,Silver,,,
Robe pull irisée   Beige, beige,#e1dcd4,Silver,LightGrey,#e2dfd9,Silver,LightGrey,#dbd9d2,Silver,LightGrey,#c7baa6,Silver,Silver,,,
Gilet irisé   Doré, doré  ,#3d3d6d,Teal,MidnightBlue,#dfdfd3,Silver,LightGrey,#e9eef2,White,Lavender,#e4dfcb,Silver,LightGrey,,,
Gilet motifs fantaisie Noir, noir et blanc  ,#e7cbba,Silver,Pink,#9a908e,Gray,RosyBrown,#ead3c7,Silver,LightGrey,#a29997,Gray,DarkGrey,#453936,Black,DimGrey
Gilet motifs fantaisie Noir, noir et blanc  ,#e7cbba,Silver,Pink,#9a908e,Gray,RosyBrown,#ead3c7,Silver,LightGrey,#a29997,Gray,DarkGrey,#453936,Black,DimGrey
Gilet à rayures   Noir et blanc, noir,#898684,Gray,Grey,#acaaab,Silver,DarkGrey,#332b2a,Black,MidnightBlue,#cfb9a8,Silver,Tan,,,
Gilet à rayures   Noir et blanc, noir,#898684,Gray,Grey,#adabab,Silver,DarkGrey,#332b2a,Black,MidnightBlue,#cfb9a8,Silver,Tan,,,
Gilet à rayures   Noir et blanc, noir,#898684,Gray,Grey,#adabac,Silver,DarkGrey,#332b2a,Black,MidnightBlue,#cfb9a8,Silver,Tan,,,
Robe droite   Nude, nude  ,#e6c8bb,Silver,Pink,#eed1c5,Silver,Pink,#e7d1bc,Silver,LightGrey,#efdace,Silver,LightGrey,,,
Robe droite   Nude, nude  ,#e6c8bc,Silver,Pink,#eed1c5,Silver,Pink,#e7d1bc,Silver,LightGrey,#efdace,Silver,LightGrey,,,
Robe motifs fleuris   Bleu, bleu,#748eab,Gray,Grey,#647d9a,Gray,Grey,#79849a,Gray,Grey,#3b5575,Teal,DimGrey,,,
Robe en jean   Bleu, bleu  ,#609ed3,Gray,MediumTurquoise,#6aa2d7,Silver,SkyBlue,#eed6c2,Silver,Moccasin,#75abdb,Silver,SkyBlue,,,
Robe en jean   Bleu, bleu  ,#609ed3,Gray,MediumTurquoise,#6aa2d7,Silver,SkyBlue,#eed6c2,Silver,Moccasin,#75abdb,Silver,SkyBlue,,,
Robe en jean   Bleu, bleu  ,#609ed3,Gray,MediumTurquoise,#6aa2d7,Silver,SkyBlue,#eed6c2,Silver,Moccasin,#75abdb,Silver,SkyBlue,,,
Robe en jean   Bleu, bleu  ,#609ed3,Gray,MediumTurquoise,#6aa2d7,Silver,SkyBlue,#eed6c2,Silver,Moccasin,#75abdb,Silver,SkyBlue,,,
Robe en guipure   Ecru, écru   ,#e4c0a8,Silver,Tan,#e2cab6,Silver,LightGrey,#aa8155,Gray,Grey,#e5cbb4,Silver,Moccasin,,,
Robe en guipure   Ecru, écru   ,#e4c0a8,Silver,Tan,#e2cab6,Silver,LightGrey,#aa8155,Gray,Grey,#e5cbb4,Silver,Moccasin,,,
Robe motifs fleuris   Bleu marine, bleu marine,#313d68,Teal,MidnightBlue,#252d51,Black,MidnightBlue,#cac0ba,Silver,Silver,#debdb0,Silver,Silver,,,
Robe   Bleu, bleu  ,#6884af,Gray,Grey,#6483b0,Gray,Grey,#607094,Gray,Grey,#7496c1,Gray,MediumPurple,,,
Robe motifs fleuris   Ecru et bleu, écru,#aba8ab,Silver,DarkGrey,#aaa8aa,Silver,DarkGrey,#a0b1c0,Silver,DarkGrey,#d0d8db,Silver,LightGrey,,,
Robe motifs fantaisie   Turquoise et orange, turquoise,#c4a9a4,Silver,DarkGrey,#bea49a,Silver,RosyBrown,#dabeb0,Silver,Silver,#a2847e,Gray,RosyBrown,,,
Robe motifs fleuris   Noir, noir,#4e4649,Gray,DimGrey,#56494a,Gray,DimGrey,#7e6f6f,Gray,DimGrey,#3d3537,Black,MidnightBlue,,,
Robe motifs fleuris   Noir, noir,#4e4649,Gray,DimGrey,#56494a,Gray,DimGrey,#7e6f6f,Gray,Grey,#3d3537,Black,MidnightBlue,,,
Robe motifs fleuris   Noir, noir,#4e4649,Gray,DimGrey,#56494a,Gray,DimGrey,#7e6f6f,Gray,DimGrey,#3d3537,Black,MidnightBlue,,,
Robe droite   Rouge, rouge  ,#fc5253,Orange,Tomato,#fe6664,Orange,Salmon,#f45e59,Orange,Tomato,#fc6760,Orange,Tomato,,,
Robe droite   Vert, vert  ,#58d296,Gray,MediumTurquoise,#4ccb8d,Gray,MediumTurquoise,#08ba77,Teal,DarkCyan,#38bd84,Teal,SeaGreen,,,
Robe volantée motifs fleuris   Rouge, rouge,#ce5350,Gray,Tomato,#cf5651,Gray,Tomato,#a86469,Gray,Grey,#efd4bc,Silver,Moccasin,,,
Combishort motifs fleuris   Rouge et blanc, rouge et blanc  ,#f2a098,Silver,Tan,#ee928b,Silver,Salmon,#f09189,Silver,Salmon,#796561,Gray,DimGrey,#eca397,Silver,Tan
Combishort motifs fleuris   Rouge et blanc, rouge et blanc  ,#f2a098,Silver,Tan,#ee928b,Silver,Salmon,#f09189,Silver,Salmon,#796561,Gray,DimGrey,#eca397,Silver,Tan
Robe longue à rayures   Bleu marine et blanc, bleu marine et blanc  ,#e8cab1,Silver,LightPink,#e4c9b8,Silver,LightGrey,#9a94a5,Gray,DarkGrey,#30335c,Teal,MidnightBlue,,,
Robe longue à rayures   Bleu marine et blanc, bleu marine et blanc  ,#e8cab1,Silver,LightPink,#e4c9b8,Silver,LightGrey,#9a94a5,Gray,DarkGrey,#30335c,Teal,MidnightBlue,,,
Robe suspendue   Ecru, écru  ,#e3bb9f,Silver,Tan,#eac2aa,Silver,LightPink,#e3cbbc,Silver,LightGrey,#e4ddd9,Silver,LightGrey,,,
Robe suspendue   Ecru, écru  ,#e3bb9f,Silver,Tan,#eac2aa,Silver,LightPink,#e3cbbc,Silver,LightGrey,#e4ddd9,Silver,LightGrey,,,
Robe motifs rouge à lèvres   Bleu marine, bleu marine,#444b83,Gray,DimGrey,#45518c,Gray,DimGrey,#d3cfbf,Silver,LightGrey,#3b3b6b,Teal,MidnightBlue,,,
Robe motifs rouge à lèvres   Bleu marine, bleu marine,#444b83,Gray,DimGrey,#45518c,Gray,DimGrey,#d3cfbf,Silver,LightGrey,#3b3b6b,Teal,MidnightBlue,,,
Robe motifs rouge à lèvres   Bleu marine, bleu marine,#444b83,Gray,DimGrey,#45518c,Gray,DimGrey,#d3cfbf,Silver,LightGrey,#3b3b6b,Teal,MidnightBlue,,,
Robe asymétrique   Citron, citron  ,#e8e3b1,Silver,Moccasin,#ece7b7,Silver,Moccasin,#eddeb1,Silver,Moccasin,#e8e4b0,Silver,Moccasin,,,
Robe fourreau en guipure   Noir, noir  ,#3a3439,Black,MidnightBlue,#31282b,Black,MidnightBlue,#3c3436,Black,MidnightBlue,#3b3739,Black,MidnightBlue,,,
Robe fourreau en guipure   Noir, noir  ,#3a3439,Black,MidnightBlue,#31282b,Black,MidnightBlue,#3c3436,Black,MidnightBlue,#3b3739,Black,MidnightBlue,,,
Robe droite motifs fleuris   Bleu marine, bleu marine,#413751,Gray,MidnightBlue,#443953,Gray,MidnightBlue,#f2252f,Orange,Crimson,#45364b,Gray,MidnightBlue,,,
Robe droite motifs fleuris   Bleu marine, bleu marine,#413751,Gray,MidnightBlue,#443953,Gray,MidnightBlue,#f2252f,Orange,Crimson,#45364a,Gray,MidnightBlue,,,
Robe droite motifs fleuris   Bleu marine, bleu marine,#413751,Gray,MidnightBlue,#443953,Gray,MidnightBlue,#f2252f,Orange,Crimson,#45364b,Gray,MidnightBlue,,,
Robe motifs fantaisie   Ecru, écru,#c9c0c1,Silver,Silver,#e3dcdc,Silver,LightGrey,#d3c9cb,Silver,LightGrey,#ebdbcb,Silver,LightGrey,,,
Robe motifs fantaisie   Ecru, écru,#c9c0c1,Silver,Silver,#e3dcdc,Silver,LightGrey,#d3c9cb,Silver,LightGrey,#ebdbcb,Silver,LightGrey,,,
Robe irisée   Turquoise, turquoise et argenté  ,#405c69,Gray,DimGrey,#4c6573,Gray,DimGrey,#545f67,Gray,DimGrey,#29414e,Teal,MidnightBlue,,,
Robe irisée   Turquoise, turquoise et argenté  ,#405c69,Gray,DimGrey,#4c6573,Gray,DimGrey,#545f67,Gray,DimGrey,#29414e,Teal,MidnightBlue,,,
Robe volantée   Rouge, rouge  ,#fd4d3f,Orange,Tomato,#fa5343,Orange,Tomato,#ee3532,Orange,Crimson,#f74036,Orange,Tomato,,,
Robe volantée   Rouge, rouge  ,#fd4d3f,Orange,Tomato,#fa5343,Orange,Tomato,#ee3532,Orange,Crimson,#f74036,Orange,Tomato,,,
Robe motifs fantaisie   Noir, noir,#503433,Black,DimGrey,#503533,Black,DimGrey,#957d7b,Gray,Grey,#19171b,Black,Black,,,
Robe motifs fantaisie   Noir, noir,#503433,Black,DimGrey,#503533,Black,DimGrey,#957d7b,Gray,Grey,#19171b,Black,Black,,,
Robe motifs fantaisie   Noir, noir,#503433,Black,DimGrey,#503533,Black,DimGrey,#957d7b,Gray,Grey,#19171b,Black,Black,,,
Robe motifs fantaisie   Bleu marine, bleu marine,#473963,Gray,MidnightBlue,#362a51,Black,MidnightBlue,#392d45,Black,MidnightBlue,#343955,Teal,MidnightBlue,,,
Combishort Bleu marine, bleu marine,#463c64,Gray,DimGrey,#433248,Black,MidnightBlue,#3c293e,Black,MidnightBlue,#5c495b,Gray,DimGrey,#413046,Black,MidnightBlue
Robe motifs fantaisie   Fuchsia, fuchsia,#885763,Gray,DimGrey,#ac7c81,Gray,RosyBrown,#dccbaa,Silver,Silver,#52394d,Gray,DimGrey,,,
Robe motifs fantaisie   Fuchsia, fuchsia,#885763,Gray,DimGrey,#ac7c80,Gray,RosyBrown,#dccbaa,Silver,Silver,#52394d,Gray,DimGrey,,,
Robe motifs fantaisie   Fuchsia, fuchsia,#885763,Gray,DimGrey,#ac7c81,Gray,RosyBrown,#dccbaa,Silver,Silver,#52394d,Gray,DimGrey,,,
Robe motifs fantaisie   Fuchsia, fuchsia,#885763,Gray,DimGrey,#ac7c80,Gray,RosyBrown,#dccbaa,Silver,Silver,#52394d,Gray,DimGrey,,,
Robe motifs fantaisie   Fuchsia, fuchsia,#885763,Gray,DimGrey,#ac7c80,Gray,RosyBrown,#dccbaa,Silver,Silver,#52394d,Gray,DimGrey,,,
Robe bustier en guipure   Noir, noir et nude  ,#3e3738,Black,MidnightBlue,#514949,Gray,DimGrey,#4d4444,Gray,DimGrey,#353031,Black,MidnightBlue,,,
Robe volantée motifs fleuris   Bleu, bleu,#637c95,Gray,Grey,#758295,Gray,Grey,#cfd1dc,Silver,LightGrey,#293140,Black,MidnightBlue,,,
Combinaison motifs fleuris   Noir, noir,#d9c0b8,Silver,Silver,#b2a09e,Silver,DarkGrey,#c9b4ae,Silver,Silver,#ecd1b8,Silver,Moccasin,,,
Combinaison motifs fleuris   Noir, noir,#d9c0b8,Silver,Silver,#e7dbd8,Silver,LightGrey,#c9b4ae,Silver,Silver,#ecd1b8,Silver,Moccasin,,,
Robe patineuse en guipure   Ecru, écru  ,#e9c8ac,Silver,LightPink,#ecc2a3,Silver,LightPink,#e7c0a4,Silver,Tan,#e6bd9b,Silver,Tan,,,
Robe patineuse en guipure   Ecru, écru  ,#e9c8ac,Silver,LightPink,#ecc2a3,Silver,LightPink,#e7c0a4,Silver,Tan,#e6bd9b,Silver,Tan,,,
Robe patineuse en guipure   Ecru, écru  ,#e9c8ac,Silver,LightPink,#ecc2a3,Silver,LightPink,#e7c0a4,Silver,Tan,#e6bd9b,Silver,Tan,,,
Robe motifs fleuris   Bleu, bleu,#7f91a7,Gray,Grey,#94a6bd,Silver,DarkGrey,#d0b8ab,Silver,Silver,#a199a0,Gray,DarkGrey,,,
Robe motifs fleuris   Bleu, bleu,#7e90a6,Gray,Grey,#94a6bd,Silver,DarkGrey,#d0b8ab,Silver,Silver,#a299a0,Gray,DarkGrey,,,
Robe patineuse en guipure   Orange, orange et noir  ,#f6633a,Orange,Tomato,#f26742,Orange,Tomato,#f0633e,Orange,Tomato,#ebc4b0,Silver,LightPink,,,
Robe patineuse en guipure   Orange, orange et noir  ,#f6633a,Orange,Tomato,#f26742,Orange,Tomato,#f0633e,Orange,Tomato,#ebc4b0,Silver,LightPink,,,
Robe patineuse en guipure   Orange, orange et noir  ,#f6633a,Orange,Tomato,#f26742,Orange,Tomato,#f0633e,Orange,Tomato,#ebc4b0,Silver,LightPink,,,
Robe fourreau   Gris, gris et beige  ,#c0aea3,Silver,DarkGrey,#e1cabc,Silver,LightGrey,#c1b9b6,Silver,Silver,#6d625e,Gray,DimGrey,,,
Robe motifs fantaisie   Noir et blanc, noir,#e8d5ce,Silver,LightGrey,#ac9ea7,Silver,DarkGrey,#d0b3b1,Silver,Silver,#433c41,Gray,DimGrey,,,
Robe bustier irisée   Noir, noir,#3b4449,Teal,DimGrey,#3a4146,Teal,MidnightBlue,#3b4044,Teal,MidnightBlue,#263238,Black,MidnightBlue,,,
Robe bustier irisée   Noir, noir,#3b4449,Teal,DimGrey,#3a4146,Teal,MidnightBlue,#3b4044,Teal,MidnightBlue,#263238,Black,MidnightBlue,,,
Robe motifs fleuris   Rouge et blanc, rouge et blanc  ,#f3beaf,Silver,LightPink,#f4c5b8,Silver,LightPink,#dd9b84,Silver,Tan,#f3a094,Silver,Tan,,,
Robe motifs fleuris   Rouge et blanc, rouge et blanc  ,#f3beaf,Silver,LightPink,#f4c5b8,Silver,LightPink,#dd9b84,Silver,Tan,#f4a196,Silver,Tan,,,
Robe asymétrique   Blanc, blanc  ,#e1c2ab,Silver,Tan,#eac9a6,Silver,Moccasin,#40b06d,Gray,SeaGreen,#d4b09b,Silver,Tan,,,
Robe asymétrique   Blanc, blanc  ,#e1c2ab,Silver,Tan,#eac9a6,Silver,Moccasin,#40b06d,Gray,SeaGreen,#d4b09b,Silver,Tan,,,
Robe trompe-l'oeil   Moutarde, moutarde  ,#ddd347,Yellow,DarkKhaki,#d4cc30,Orange,YellowGreen,#d4cd2c,Orange,YellowGreen,#d6c83f,Orange,DarkKhaki,,,
Robe   Noir,,#322b32,Black,MidnightBlue,#322c32,Black,MidnightBlue,#332d30,Black,MidnightBlue,#312828,Black,Black,,,
Robe en guipure volantée   Noir, noir  ,#302d2f,Black,MidnightBlue,#efd4bc,Silver,Moccasin,#e3cdb7,Silver,LightGrey,#3e2e2a,Black,MidnightBlue,,,
Robe droite motifs fantaisie   Noir et blanc, noir,#a7a4ac,Silver,DarkGrey,#9e9da6,Silver,DarkGrey,#dcd0ce,Silver,LightGrey,#5f6076,Gray,DimGrey,,,
Robe droite motifs fantaisie   Noir et blanc, noir,#a7a3ac,Silver,DarkGrey,#9e9da6,Silver,DarkGrey,#dcd0ce,Silver,LightGrey,#5f6076,Gray,DimGrey,,,
Robe droite motifs fantaisie   Noir et blanc, noir,#a7a4ac,Silver,DarkGrey,#9e9da6,Silver,DarkGrey,#dcd0ce,Silver,LightGrey,#5f6076,Gray,DimGrey,,,
Robe droite en guipure   Bordeaux, bordeaux  ,#cc474b,Gray,Crimson,#d15153,Gray,Tomato,#c34347,Gray,Brown,#f06e74,Gray,Salmon,#c9514c,Gray,Chocolate
